"Bus Table: B1 (SPI (no CS): 8 Bit, MSB, Clk = C1, Data = C2)"
Frame,Mark,Time Diff. in s,Length,Data,State
1,,12.34848000e-3,20,0xB407B407B207B207B407B307B407B407B207B407,OK
2,,13.65811200e-3,20,0xB407B407B307B407B407B307B407B407B407B407,OK
3,,13.65568000e-3,20,0xB407B307B407B407B307B307B407B307B407B307,OK
4,,13.65811200e-3,20,0xB407B307B407B307B407B407B407B407B407B207,OK
5,,13.65811200e-3,20,0xB407B407B207B407B307B407B207B307B307B307,OK
6,,13.65932800e-3,20,0xB207B407B307B307B507B307B407B307B407B307,OK
7,,13.65689600e-3,20,0xB407B207B207B407B307B407B307B407B307B407,OK
8,,13.65811200e-3,20,0xB407B407B407B407B507B407B307B307B407B407,OK
9,,13.65811200e-3,20,0xB307B407B407B307B507B307B407B307B407B307,OK
10,,13.65689600e-3,20,0xB407B307B407B507B307B307B507B307B407B407,OK
11,,13.65811200e-3,20,0xB407B407B407B407B307B307B407B307B407B307,OK
12,,13.65568000e-3,20,0xB507B307B407B407B507B407B407B407B407B307,OK
13,,13.65568000e-3,20,0xB507B407B307B307B407B407B407B207B407B307,OK
14,,13.65689600e-3,20,0xB407B407B407B307B407B307B307B407B407B407,OK
15,,13.65689600e-3,20,0xB507B407B307B307B307B407B407B307B407B407,OK
16,,13.65568000e-3,20,0xB307B407B407B507B307B407B507B307B307B507,OK
17,,13.65689600e-3,20,0xB307B307B207B307B407B307B507B407B207B407,OK
18,,13.65568000e-3,20,0xB307B407B407B307B307B407B307B307B407B307,OK
19,,13.65568000e-3,20,0xB407B307B407B307B407B407B307B307B407B407,OK
20,,13.65689600e-3,20,0xB307B307B407B307B307B307B407B407B407B307,OK
21,,13.65446400e-3,20,0xB407B307B407B407B307B307B307B407B307B407,OK
22,,13.65568000e-3,20,0xB507B407B407B407B307B307B307B307B407B407,OK
23,,13.65446400e-3,20,0xB307B307B407B407B507B407B207B407B307B307,OK
24,,13.65446400e-3,20,0xB407B407B307B307B207B307B207B307B407B207,OK
25,,13.65568000e-3,20,0xB407B507B307B307B407B407B407B407B407B507,OK
26,,13.65446400e-3,20,0xB407B407B307B307B207B507B207B407B307B307,OK
27,,13.65568000e-3,20,0xB307B307B307B307B207B307B407B307B407B207,OK
28,,13.65446400e-3,20,0xB407B407B407B407B207B307B407B407B407B507,OK
29,,13.65568000e-3,20,0xB407B407B407B407B407B407B407B507B407B307,OK
30,,13.65568000e-3,20,0xB407B207B307B407B407B307B307B407B307B207,OK
31,,13.65689600e-3,20,0xB407B407B407B407B307B407B407B207B407B307,OK
32,,13.65568000e-3,20,0xB507B307B407B407B307B507B307B407B307B307,OK
33,,13.65689600e-3,20,0xB407B307B407B207B507B407B407B307B407B307,OK
34,,13.65568000e-3,20,0xB307B407B407B407B407B307B307B407B407B307,OK
35,,13.65568000e-3,20,0xB407B307B307B207B207B307B307B407B407B407,OK
36,,13.65568000e-3,20,0xB407B407B407B307B307B407B407B307B307B207,OK
37,,13.65689600e-3,20,0xB207B507B307B407B307B407B307B407B307B307,OK
38,,13.65446400e-3,20,0xB307B407B407B407B407B307B307B407B307B307,OK
39,,13.65446400e-3,20,0xB307B407B307B407B407B207B407B307B407B407,OK
40,,13.65568000e-3,20,0xB407B307B207B407B307B307B407B307B307B407,OK
41,,13.65446400e-3,20,0xB407B307B407B507B207B307B407B307B307B407,OK
42,,13.65568000e-3,20,0xB407B207B407B407B307B407B407B407B407B407,OK
43,,13.65568000e-3,20,0xB307B307B307B407B307B307B407B307B507B407,OK
44,,13.65446400e-3,20,0xB307B307B307B307B407B507B507B407B407B407,OK
45,,13.65568000e-3,20,0xB307B407B307B407B307B407B407B507B207B407,OK
46,,13.65446400e-3,20,0xB307B307B407B307B307B407B307B307B407B407,OK
47,,13.65568000e-3,20,0xB407B307B407B407B407B207B307B407B307B307,OK
48,,13.65568000e-3,20,0xB507B407B407B407B407B307B507B407B307B407,OK
49,,13.65568000e-3,20,0xB207B307B307B307B407B407B507B407B407B307,OK
50,,13.65446400e-3,20,0xB407B407B407B407B407B407B307B407B407B307,OK
51,,13.65568000e-3,20,0xB407B307B407B407B407B307B407B307B207B407,OK
52,,13.65568000e-3,20,0xB407B307B307B407B407B407B307B407B307B307,OK
53,,13.65568000e-3,20,0xB407B307B407B407B407B207B307B307B207B507,OK
54,,13.65446400e-3,20,0xB407B407B407B307B307B407B307B207B307B207,OK
55,,13.65446400e-3,20,0xB407B307B307B307B507B307B407B307B407B307,OK
56,,13.65568000e-3,20,0xB407B407B407B307B407B307B407B207B407B307,OK
57,,13.65568000e-3,20,0xB207B407B307B307B407B307B307B407B307B507,OK
58,,13.65446400e-3,20,0xB407B307B307B307B407B307B407B407B307B207,OK
59,,13.65568000e-3,20,0xB407B407B407B407B407B307B407B307B207B407,OK
60,,13.65568000e-3,20,0xB307B307B207B407B307B407B407B207B307B407,OK
61,,13.65568000e-3,20,0xB307B407B407B307B507B407B407B307B307B407,OK
62,,13.65446400e-3,20,0xB407B207B407B307B407B307B507B307B307B207,OK
63,,13.65446400e-3,20,0xB407B307B407B407B407B507B407B407B307B407,OK
64,,13.65568000e-3,20,0xB407B407B407B307B307B307B307B407B207B207,OK
65,,13.65568000e-3,20,0xB307B407B407B507B307B307B307B407B407B307,OK
66,,13.65568000e-3,20,0xB407B307B407B407B207B407B407B407B307B407,OK
67,,13.65568000e-3,20,0xB407B307B307B507B507B307B307B507B307B307,OK
68,,13.65689600e-3,20,0xB407B207B407B407B407B307B407B307B307B307,OK
69,,13.65446400e-3,20,0xB407B407B407B407B407B307B407B407B407B407,OK
70,,13.65568000e-3,20,0xB307B407B307B407B407B407B307B307B407B307,OK
71,,13.65446400e-3,20,0xB407B407B407B207B307B407B307B507B307B407,OK
72,,13.65446400e-3,20,0xB407B207B407B407B307B407B407B207B307B407,OK
73,,13.65446400e-3,20,0xB407B307B307B307B307B307B307B407B307B207,OK
74,,13.65689600e-3,20,0xB307B307B307B407B407B307B407B407B207B407,OK
75,,13.65568000e-3,20,0xB407B407B307B307B407B407B407B307B307B307,OK
76,,13.65689600e-3,20,0xB407B407B307B407B307B407B507B407B407B407,OK
77,,13.65568000e-3,20,0xB307B407B307B307B407B207B307B407B307B407,OK
78,,13.65689600e-3,20,0xB407B207B407B407B407B407B307B307B307B307,OK
79,,13.65324800e-3,20,0xB207B307B407B407B407B407B407B207B407B507,OK
80,,13.65446400e-3,20,0xB407B307B307B307B407B407B407B307B507B507,OK
81,,13.65446400e-3,20,0xB407B307B407B307B307B407B307B307B407B307,OK
82,,13.65446400e-3,20,0xB407B407B407B407B407B307B307B307B307B307,OK
83,,13.65446400e-3,20,0xB307B507B307B307B307B307B507B407B307B407,OK
84,,13.65446400e-3,20,0xB307B307B307B407B307B407B307B307B207B407,OK
85,,13.65446400e-3,20,0xB407B407B407B407B307B407B407B407B407B207,OK
86,,13.65324800e-3,20,0xB407B407B407B407B207B507B307B307B407B507,OK
87,,13.65446400e-3,20,0xB407B407B307B307B307B307B307B407B407B407,OK
88,,13.65446400e-3,20,0xB407B307B407B407B407B207B307B307B407B407,OK
89,,13.65324800e-3,20,0xB407B307B407B307B407B307B307B407B407B307,OK
90,,13.65324800e-3,20,0xB407B407B407B307B507B307B307B307B207B507,OK
91,,13.65568000e-3,20,0xB507B407B307B407B407B307B307B307B407B307,OK
92,,13.65446400e-3,20,0xB407B307B407B307B407B407B507B307B307B307,OK
93,,13.65446400e-3,20,0xB407B407B307B407B407B407B407B407B307B307,OK
94,,13.65446400e-3,20,0xB507B407B307B407B307B307B307B307B407B407,OK
95,,13.65446400e-3,20,0xB407B307B407B307B307B407B407B407B507B307,OK
96,,13.65446400e-3,20,0xB307B307B307B307B307B307B407B207B407B407,OK
97,,13.65324800e-3,20,0xB407B307B407B307B407B407B407B307B307B307,OK
98,,13.65446400e-3,20,0xB307B307B407B407B407B307B407B407B407B307,OK
99,,13.65568000e-3,20,0xB407B307B307B307B207B407B307B307B407B407,OK
100,,13.65568000e-3,20,0xB407B407B407B407B207B307B307B407B407B407,OK
101,,13.65446400e-3,20,0xB207B507B407B407B407B407B407B307B307B307,OK
102,,13.65446400e-3,20,0xB407B407B307B207B407B307B407B407B407B407,OK
103,,13.65446400e-3,20,0xB407B307B307B407B307B407B407B407B407B307,OK
104,,13.65568000e-3,20,0xB207B407B307B407B307B307B407B307B407B407,OK
105,,13.65446400e-3,20,0xB307B407B307B207B407B507B307B307B407B407,OK
106,,13.65568000e-3,20,0xB407B307B307B407B407B307B307B407B407B407,OK
107,,13.65446400e-3,20,0xB307B507B207B507B407B307B307B407B307B307,OK
108,,13.65324800e-3,20,0xB407B207B307B307B407B207B307B507B407B407,OK
109,,13.65446400e-3,1,0x02,Data Error
